afraid [ə'freıd]
aggressive [ə'gresıv]
agitated ['æʤıteıtıd]
amazed [əˈmeɪzıd]
amazing [ə'meızıŋ]
angry ['æŋgrı]
annoyed [ə'nɔıd]
anxious ['æŋkʃəs]
astir [ə'stə:]
bodacious [bɔ:'deıʃəs]
calm [kɑ:m]
cheerful ['ʧıəful]
cheerless ['ʧıəlıs]
depressed [dı'prest]
depressing [dı'presıŋ]
despondent [dıs'pɔndənt]
disgusting [dıs'gʌstıŋ]
doleful ['dəulful]
dull [dʌl]
elated [ı'leıtıd]
excited [ɪkˈsaɪtɪd]
fabulous ['fæbjuləs]
fascinating ['fæsıneıtıŋ]
frightened ['fraıtnd]
furious ['fjuərıəs]
glad [glæd]
gorgeous ['gɔ:ʤəs]
happy ['hæpı]
hilarious [hı'leərıəs]
joyful ['ʤɔıful]
lazy ['leızı]
lonely ['ləunlı]
magnificent [mæg'nıfısnt]
miserable ['mızərəbl]
mournful ['mɔ:nful]
moving ['mu:vıŋ]
nervous ['nə:vəs]
outrageous [aut'reıʤəs]
proud [praud]
sad [sæd]
scared [skeəd]
shy [ʃaı]
stunning ['stʌnıŋ]
tense [tens]
terrible ['terəbl]
terrific [tə'rıfık]
thoughtful [θɔ:tful]
thrilling ['θrılıŋ]
touching ['tʌʧıŋ]
unhappy [ʌn'hæpı]
upset [ʌp'set]
 
 
 
 
 
 
 
 

